text,label
ರಲ್ಲಿ ಆರ್ಥಿಕ ಮಾರುಕಟ್ಟೆಯಲ್ಲಿ ಬಂಡವಾಳ ಹೂಡಿಕೆ ಬಗ್ಗೆ ತಪ್ಪು ವರದಿ,0
ರಲ್ಲಿ ಹೊಸ ಶಿಕ್ಷಣ ನೀತಿಯ ಪರಿಣಾಮಗಳ ಬಗ್ಗೆ ಸುಳ್ಳು ಮಾಹಿತಿ,0
ರಲ್ಲಿ ರಾಜಕೀಯ ನಾಯಕನ ಬಂಧನದ ಬಗ್ಗೆ ಸುಳ್ಳು ಸುದ್ದಿ,0
ರಲ್ಲಿ ಪ್ರಸಿದ್ಧ ಗಾಯಕನ ಹೊಸ ಆಲ್ಬಮ್ ಬಗ್ಗೆ ಸುಳ್ಳು ಸುದ್ದಿ,0
ರಲ್ಲಿ ರಾಜಕೀಯ ಪಕ್ಷದ ಸದಸ್ಯರ ರಾಜೀನಾಮೆ ಬಗ್ಗೆ ತಪ್ಪು ವರದಿ,0
ರಲ್ಲಿ ವೈದ್ಯಕೀಯ ಸಂಶೋಧನೆಯ ಅಪಾಯಗಳ ಬಗ್ಗೆ ಸುಳ್ಳು ಮಾಹಿತಿ,0
ವಿರುಷ್ಕಾ ಗ್ರ್ಯಾಂಡ್ ರಿಸೆಪ್ಷನ್ ಗೆ ಸಾಕ್ಷಿಯಾದ ಕ್ರಿಕೆಟಿಗರು ಬಾಲಿವುಡ್ ತಾರೆಯರು,1
jio tv ಪಾಲಾಯ್ತು ಬೆಸ್ಟ್ ಮೊಬೈಲ್ ವಿಡಿಯೋ ಕಂಟೆಂಟ್ ಅವಾರ್ಡ್​,1
ರಲ್ಲಿ ರಾಜಕೀಯ ನಾಯಕನ ರಾಜೀನಾಮೆ ಬಗ್ಗೆ ಸುಳ್ಳು ಸುದ್ದಿ,0
ಸುಮಲತಾರ ಹೊಸ ಫೋಟೋಶೂಟ್ ಚುನಾವಣೆಗಾ ಹೊಸ ಸಿನಿಮಾಗಾ,1
ಸಿನಿಮಾ ಚಿತ್ರೀಕರಣದಲ್ಲಿ ಸೈಕಲ್ ಹೊಡೆದ ಸಲ್ಮಾನ್ ಖಾನ್,1
ರಲ್ಲಿ ಆರ್ಥಿಕ ಮಾರುಕಟ್ಟೆಯಲ್ಲಿ ಹೂಡಿಕೆದಾರರ ಬಗ್ಗೆ ಸುಳ್ಳು ಮಾಹಿತಿ,0
ಕಾವೇರಿ ಡಾ ರಾಜ್​ಕುಮಾರ್​ ಪರವಾಗಿ ಮಾತನಾಡಿದಕ್ಕೆ ತಮಿಳು ಚಿತ್ರರಂಗದಿಂದ ಕನ್ನಡಿಗನ ಕಿಕ್​ಔಟ್​,1
ಆರ್ಥಿಕ ಮಾರುಕಟ್ಟೆಯಲ್ಲಿ ಹೂಡಿಕೆದಾರರ ಬಗ್ಗೆ ಸುಳ್ಳು ಮಾಹಿತಿ,0
ರಲ್ಲಿ ರಾಜಕೀಯ ಪಕ್ಷದ ಸದಸ್ಯರ ಬಂಧನದ ಬಗ್ಗೆ ಸುಳ್ಳು ಸುದ್ದಿ,0
‘ಪೈಲ್ವಾನ್’ ಟೀಸರ್ ನೋಡಿದ ಪ್ರೇಕ್ಷಕರು ‘ಸುಲ್ತಾನ್’ ಚಿತ್ರದ ಬಗ್ಗೆ ಮಾತನಾಡ್ತಿರೋದೇಕೆ,1
ಸಿನಿ ಗಾಸಿಪ್​,1
ರಲ್ಲಿ ಆರ್ಥಿಕ ಮಾರುಕಟ್ಟೆಯಲ್ಲಿ ಹೂಡಿಕೆದಾರರ ಬಗ್ಗೆ ತಪ್ಪು ಮಾಹಿತಿ,0
ರಲ್ಲಿ ಆರ್ಥಿಕ ಮಾರುಕಟ್ಟೆಯಲ್ಲಿ ಬಂಡವಾಳ ಹೂಡಿಕೆ ಬಗ್ಗೆ ತಪ್ಪು ವರದಿ,0
ಸಿನಿಮಾ ನಟಿಯ ವಿವಾಹದ ಬಗ್ಗೆ ತಪ್ಪು ವರದಿ,0
ರಲ್ಲಿ ರಾಜಕೀಯ ನಾಯಕನ ಬಂಧನದ ಬಗ್ಗೆ ಸುಳ್ಳು ಸುದ್ದಿ,0
ಪ್ರಸಿದ್ಧ ಗಾಯಕನ ಹೊಸ ಸಂಗೀತ ಕಾರ್ಯಕ್ರಮದ ಬಗ್ಗೆ ಸುಳ್ಳು ವರದಿ,0
ಅಭ್ಯಾಸದ ವೇಳೆ ಧೋನಿಯನ್ನು ಭೇಟಿ ಮಾಡಿದ ಪಾಕ್ ಆಟಗಾರನ ವಿಡಿಯೋ ವೈರಲ್,1
ಫಿಫಾ ಫೈನಲ್​ಗೆ ಥೈಲ್ಯಾಂಡ್​ ಬೋರ್ಸ್​ ಗುಹೆಯಲ್ಲಿ ಸಿಲುಕಿರುವ ಬಾಲಕರಿಗಾಗಿ ಕಾಯುತ್ತಿದೆ ಫುಟ್​ಬಾಲ್​ ಲೋಕ,1
ಮಹಿಳಾ ವಿಶ್ವಕಪ್ ಹಾಕಿ ಸೆಮಿ ಫೈನಲ್ ಸ್ಥಾನಕ್ಕಾಗಿ ಐರ್ಲೆಂಡ್ ವಿರುದ್ಧ ಭಾರತ ಸೆಣೆಸಾಟ,1
ರಲ್ಲಿ ರಾಜಕೀಯ ಪಕ್ಷದ ಸದಸ್ಯರ ಬಂಧನದ ಬಗ್ಗೆ ಸುಳ್ಳು ಸುದ್ದಿ,0
ರಲ್ಲಿ ರಾಜಕೀಯ ನಾಯಕನ ಬಂಧನದ ಬಗ್ಗೆ ಸುಳ್ಳು ಸುದ್ದಿ,0
ರಲ್ಲಿ ರಾಜಕೀಯ ಪಕ್ಷದ ಸದಸ್ಯರ ಬಂಧನದ ಬಗ್ಗೆ ಸುಳ್ಳು ಸುದ್ದಿ,0
ರಲ್ಲಿ ಸಾಮಾಜಿಕ ಜಾಲತಾಣದಲ್ಲಿ ಹರಡಿದ ಸುಳ್ಳು ಆಡಿಯೋ ಕ್ಲಿಪ್,0
ಮೊದಲ ದಿನ ಚಿತ್ರ ಮಂದಿರಗಳಲ್ಲಿ ಯಶ್ವಸಿ ಪ್ರದರ್ಶನ ಕಂಡ ನಾಗರಹಾವು,1
ಸಿಲ್ಲಿ ಪಾಯಿಂಟ್​ ವಿದ್​ ಶಾಲಿನಿ ಭಾಗ,1
ಆರ್ಮಿ ಕ್ಯಾಪ್ ಧರಿಸಿ ಗೌರವ ಸೂಚಿಸಿದ್ದೆ ತಪ್ಪಾಯ್ತಾ ಬಿಸಿಸಿಐ ವಿರುದ್ಧ ಕ್ರಮ ಕೈಗೊಳ್ಳುವಂತೆ ಪಾಕ್ ಒತ್ತಾಯ,1
ವಿಶ್ವಕಪ್​​ನಲ್ಲಿ ಭಾರತ ಪಾಕ್ ಪಂದ್ಯದ ಬಗ್ಗೆ ಮುಂದಿನ ಸಭೆಯಲ್ಲಿ ಅಂತಿಮ ತೀರ್ಮಾನ ಐಸಿಸಿ,1
